,venue_Neighborhood,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,venue_distance,venue_postalCode,venue_city,venue_state,venue_formattedAddress,venue_neighborhood,venue_address,venue_crossStreet
4,malga,596fb54defa82a5693a3fd59,Roast Cuisine,Eastern European Restaurant,False,24.800276,46.694825,9511,13313,الرياض,منطقة الرياض‎,"['111 (1)', 'الرياض 13313', 'المملكة العربية السعودية']",Al-Wadi,111,1
5,malga,5b3e32582a7ab600392f63f8,العميد للاكلات الكويسه,Eastern European Restaurant,False,24.807948,46.80542,20702,13226,الرياض,منطقة الرياض‎,"['الرياض 13226', 'المملكة العربية السعودية']",,,
6,malga,5a150629b546182d6460d399,El Tempo Restaurant,Eastern European Restaurant,False,24.708765,46.678,12879,12244,الرياض,منطقة الرياض‎,"['Mezzanine Floor, Executives Hotel (Olaya Street)', 'الرياض 12244', 'المملكة العربية السعودية']",,"Mezzanine Floor, Executives Hotel",Olaya Street
7,malga,58d9ed9afda3d8151845a414,البوفية الفخمة,Eastern European Restaurant,False,24.704314,46.681576,13492,,,,['المملكة العربية السعودية'],,,
8,malga,513dce36e4b0a2c59edb37c3,@Kitchen ,Eastern European Restaurant,False,24.70996681605244,46.693174970247746,13765,,,,['المملكة العربية السعودية'],,,
9,malga,53510b98498e9a6ceaccf45e,مذاق الحياة,Afghan Restaurant,False,24.801363385920855,46.6426578615231,4240,,الرياض,منطقة الرياض‎,"['الرياض', 'المملكة العربية السعودية']",,,
10,malga,527e338f11d26b82a5c74570,European Hut (الكوخ الأوروبي),Eastern European Restaurant,False,24.693911293201662,46.7267130405829,17426,,الرياض,منطقة الرياض‎,"['Malaz, Khurais Road', 'الرياض', 'المملكة العربية السعودية']",,"Malaz, Khurais Road",
11,malga,535f73ed498ef2811628fa22,The Good Cheff,Eastern European Restaurant,False,24.717031478881836,46.61935806274414,9506,,,,['المملكة العربية السعودية'],,,
12,malga,516538d2e4b038351341f64d,Les Bernaches,Eastern European Restaurant,False,24.786542089919806,46.730933434071964,13255,,الرياض,منطقة الرياض‎,"['Mercure value hotel', 'الرياض', 'المملكة العربية السعودية']",,Mercure value hotel,
13,malga,58a44d479c954835cced139e,Hawa beirut,Eastern European Restaurant,False,24.788833,46.754266,15575,,,,['المملكة العربية السعودية'],,,
14,malga,51137688e4b037b4be64665d,Senses,Eastern European Restaurant,False,24.706666,46.641597,11258,,,,['المملكة العربية السعودية'],,,
15,malga,598772e72ebb34734fa473a0,Lavash (لافاش),Eastern European Restaurant,False,24.69344956838572,46.67726223771469,14231,12313,الرياض,منطقة الرياض‎,"['Prince Mohammed Bin Abdulaziz Road (Prince Muhammad bin Abdul Aziz RD)', 'الرياض 12313', 'المملكة العربية السعودية']",Al-Olaya,Prince Mohammed Bin Abdulaziz Road,Prince Muhammad bin Abdul Aziz RD
16,malga,5a1305f159c4235dc1f68ccd,Lusin (لوسين),Eastern European Restaurant,False,24.750357064783298,46.62368935754317,6070,12385,الرياض,منطقة الرياض‎,"['North Ring Road (طريق الدائري الشمالي الفرعي - مخرج 2)', 'الرياض 12385', 'المملكة العربية السعودية']",,North Ring Road,طريق الدائري الشمالي الفرعي - مخرج 2
17,malga,57107d1f498eac8ccb437d3a,Lavash Corner (لافاش كورنر),Eastern European Restaurant,False,24.789400870634637,46.65888542115858,6013,,الرياض,منطقة الرياض‎,"['Exit 5, King Abdulaziz Rd', 'الرياض', 'المملكة العربية السعودية']",,"Exit 5, King Abdulaziz Rd",
18,malga,594b89e0a2a6ce5a03576a4e,Armin (اَرْمِيِن),Eastern European Restaurant,False,24.765485268429693,46.75443603612455,16025,13214,الرياض,منطقة الرياض‎,"['King Abdullah Rd.', 'الرياض 13214', 'المملكة العربية السعودية']",,King Abdullah Rd.,
19,malga,4db599fc81543d71da5b8e83,Lusin (لوسين),Eastern European Restaurant,False,24.697488,46.683697,14229,,الرياض,منطقة الرياض‎,"['Centria Mall, 2nd Floor (Tahliya St.)', 'الرياض', 'المملكة العربية السعودية']",Al-Olaya,"Centria Mall, 2nd Floor",Tahliya St.
20,malga,5251ace8498efe8ce6f47945,Wardat Alamjad (وردة الأمجاد),Eastern European Restaurant,False,24.561586,46.758893,31060,,الرياض,منطقة الرياض‎,"['الدار البيضاء', 'الرياض', 'المملكة العربية السعودية']",,الدار البيضاء,
