,venue_id,venue_name,venue_categories,venue_hasPerk,venue_lat,venue_lng,neighborhood,verified,likes_count,rating,neighborhood_lat_lng
459,5bd897d5acb00b00394610d8,Big Chefs,Turkish Restaurant,False,24.75559960346732,46.6305651778601, Al Aqeeq District حي العقيق,True,526,6.3,"24.7798792,46.6268087019194"
460,5369469e498ee122760361d1,Noor Alhanaa Restaurants (مطاعم نور الهناء),Turkish Restaurant,False,24.803936885119768,46.65179136933445, Al Yasmin District,False,139,7.5,"24.8227909,46.63976191406831"
461,5c896e9dd4cc98002ca47cba,الفطيرة الدمشقية,Doner Restaurant,False,24.821883,46.654259, Al Yasmin District,False,14,8.4,"24.8227909,46.63976191406831"
462,5024310fe4b0953b3d7d8db3,سفرة السلطان,Turkish Restaurant,False,24.75659629948473,46.6584857038844, Almuruj District حي المروج,False,67,7.4,"24.758710649999998,46.661198204891505"
463,595a1b2973fe251e47ebb762,Topkapi (طوبكابي),Turkish Restaurant,False,24.76726230839584,46.659950708407486, Al Ghadir District حي الغدير,False,170,6.6,"24.7717442,46.654636302380695"
464,5b40b23e4420d8002c2aa2fe,Beyzade,Turkish Restaurant,False,24.807214291975125,46.614547661070716, Al Malga District حي الملقا,False,215,7.5,"24.800734900000002,46.60070282369142"
465,52e952ec498e5d6b092d85cb,topkapi (طوب كابي),Turkish Restaurant,False,24.69446321690793,46.67966365814208, Al Olaya District حي العليا,False,1077,7.6,"24.69216205,46.686588958007334"
466,4ea55d26dab47252712308f5,Köşebaşı (كوشي باشي),Turkish Restaurant,False,24.701026412199425,46.6942073490178, Al Olaya District حي العليا,False,1028,7.2,"24.69216205,46.686588958007334"
467,572370e4498e113c95a00ae3,Döner House (دونر هاوس),Doner Restaurant,False,24.795824233869066,46.629354800628136, Al Aqeeq District حي العقيق,False,217,6.6,"24.7798792,46.6268087019194"
468,5661fc0c498e7d4e465cd130,lamoy,Ukrainian Restaurant,False,24.691283,46.679681, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
469,5dd575e27ef83f0008185fcb,vegan restaurant Samona Yard,Vegetarian / Vegan Restaurant,False,24.678033,46.70516, As Sulaymaniyah District حي السليمانية,False,0,7.8,"24.6989148,46.708173863609446"
470,521e331311d2d794fd53f24e,Diet Center (دايت سنتر),Vegetarian / Vegan Restaurant,False,24.75147,46.820052000000004, Al Nahdhah District حي النهضة,False,2,7.8,"24.75879795,46.81326803253911"
471,54bff62f498e78d9c54c6394,الخضرجي يلي بيوصل عالبيت 😁,Vegetarian / Vegan Restaurant,False,24.66999435424805,46.73151397705078, Al Malaz District حي الملز,False,1,7.8,"24.6641208,46.73369757161316"
472,5dc58fb4ed7e4e0007c09a56,محل ولد عمي,Vegetarian / Vegan Restaurant,False,24.828473000000002,46.651218, Al Yasmin District,False,0,7.8,"24.8227909,46.63976191406831"
473,5812ad0938fa8d6824adf962,Vegetarian,Vegetarian / Vegan Restaurant,False,24.799242,46.621365000000004, Al Malga District حي الملقا,False,0,7.8,"24.800734900000002,46.60070282369142"
474,51790f83e4b0994566dfcd89,Vigi Market,Vegetarian / Vegan Restaurant,False,24.650545,46.709488, Al Murabba District حي المربع,False,0,7.8,"24.66220335,46.70920480249076"
475,5cb95712f870fd002c28c207,Wabi Sabi,Vegetarian / Vegan Restaurant,False,24.700325,46.702265000000004, As Sulaymaniyah District حي السليمانية,False,56,8.7,"24.6989148,46.708173863609446"
476,56e9133b498ed7cad75ce093,vr2,Vegetarian / Vegan Restaurant,False,24.70920015690198,46.672714904931276, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
477,5661fce6498e347f6d9f15f8,utan law/oy,Vegetarian / Vegan Restaurant,False,24.691270000000003,46.679685, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
478,5158a0cfe4b0e5f97c3e78d7,Alfkhani,Vegetarian / Vegan Restaurant,False,24.69988822937012,46.68613052368164, Al Olaya District حي العليا,False,0,7.8,"24.69216205,46.686588958007334"
479,57236241498e7db35c691b92,Saravana Bhavan,South Indian Restaurant,False,24.663358460136855,46.70445792250268, Al Murabba District حي المربع,True,472,9.0,"24.66220335,46.70920480249076"
480,5d67bcdead15640008f1b0de,Buffalo,American Restaurant,False,24.755666,46.631598, Al Aqeeq District حي العقيق,False,0,7.9,"24.7798792,46.6268087019194"
